ID;Titre;Accroche popup;Type;Commune;Code Postal;Adresse;GPS;Latitude;Longitude;Artiste(s);Année;Support;Thème;Description;Photo_url
F001;Fresque participative de Meximieux;Fresque participative sur la façade de l'Espace Vaugelas, réalisée avec plus de 300 habitants.;Fresques participatives CCPA;Meximieux;01800;Salle Vaugelas 3 avenue Dr Boyer;45.90515817496813,5.193772553245508;45.90515817496813;5.193772553245508;Stéphane Paret;2025;Salle culturelle;Valorisation identité locale;La fresque met en valeur l'Espace Vaugelas et sa destination culturelle. Elle a été réalisée avec l'aide de plus de 300 habitants.;photos/F001.jpg
F002;Fresque participative de Bourg-Saint-Christophe;Fresque participative sur l'école-bibliothèque, mêlant symboles du village et vie locale.;Fresques participatives CCPA;Bourg-Saint-Christophe;01800;Mur aveugle, Pl. de la Mairie;45.889522,5.157160;45.889522;5.157160;Passe-Mural;2024;Ecole-bibliothèque;Valorisation identité locale;La fresque participative réalisée sur l’école‑bibliothèque de Bourg‑Saint‑Christophe mêle livre ouvert, écoliers rappelant la fonction du lieu et symboles du village comme les puits, les fours et la huppe fasciée, qui mettent en valeur l’identité locale. Elle a été inaugurée en présence du président de la CCPA, Monsieur Jean-Louis Guyader.;photos/F002.jpg
F003;Fresque participative Charnoz-sur-Ain;Hommage à la plus grande roseraie privée de France, aujourd'hui disparue.;Fresques participatives CCPA;Charnoz-sur-Ain;01800;40 Rue de Monetroi;45.86746062193996,5.221782480229762;45.86746062193996;5.221782480229762;Passe-Mural;2024;Mairie;Patrimoine/Culture;Cette fresque redonne vie à la roseraie du parc du château de la famille Messimy, qui, en 1910 était la plus grande roseraie de France. Aujourd'hui disparue ses roses restent un emblème historique pour la commune.;photos/F003.jpg
F004;Fresque participative Saint-Jean-de-Niost;Fresques racontant l'histoire et les paysages de Saint-Jean-de-Niost.;Fresques participatives CCPA;Saint-Jean-de-Niost;01800;122 Chem. de sous Buyat (proximité de la  salle polyvalente et de école);45.843369,5.218726;45.843369;5.218726;Sorry Graffiti;2025;Salle polyvalente;Valorisation identité locale;La fresque, située à un lieu très fréquenté et connu des habitants vient égayer cet l'espace en racontant l'histoire de la commune. On peut y voir différents monuments, animaux, végétaux et les hameaux de Saint‑Jean‑de‑Niost.;photos/F004.jpg
F005;Fresque participative de Saint-Maurice-de-Gourdans;Fresque retraçant la métamorphose d'une usine de filage en zone de loisirs.;Fresques participatives CCPA;Saint-Maurice-de-Gourdans;01800;"façade de l'ancien gymnase
8 Chem. du Petit Chanay";45.820501,5.200404;45.820501;5.200404;Passe-Mural;2023;Ancien gymnase;Histoire locale;La fresque évoque la transformation du site, passé d’une usine de filage de métaux précieux à une zone de loisirs et de sport. Le thème « Du labeur au loisir, le clos à travers l’histoire de la métamorphose d’une tréfilerie de métaux précieux en lieu récréatif et sportif » retrace cette évolution et met en scène la transformation du lieu à travers le temps.;photos/F005.jpg
F006;Fresque participative de Loyettes;Hommage à la construction de bateaux sur le Rhône et à l'aérodrome disparu de Loyettes.;Fresques participatives CCPA;Loyettes;01360;10 Pl. Maurice Reverdy ;45.776009,5.208122;45.776009;5.208122;Stéphane Paret;2024;Bâtiment associatif;Histoire locale;La fresque met en scène deux pans de l’histoire locale : la fabrication de bateaux pour la navigation sur le Rhône et l’aérodrome de Loyettes, disparu pendant la Seconde Guerre mondiale. Elle rend hommage aux récits liés au transport maritime et aérien qui ont marqué la commune.;photos/F006.jpg
F007;Fresque participative de Blyes;La fresque associe musique, chèvres et blocs colorés comme une extension du paysage, visible dès l'entrée de Sainte-Julie.;Fresques participatives CCPA;Blyes;01150;"Face intérieur d’un grand abris bus 
99 Chem. de Ruvaison";45.8469044169597,5.252080097523631;45.8469044169597;5.252080097523631;Stéphane Paret;2024;Abri-bus;Valorisation identité locale;La fresque, située dans un abri-bus, montre le nom de la commune entouré de scènes de vie et d'activités pratiquées par différentes générations, dans une ambiance dynamique et festive mettant en avant la transmission intergénérationnelle.;photos/F007.jpg
F008;Fresque participative Saint-Julie;La fresque associe musique, chèvres et blocs colorés comme une extension du paysage, visible dès l'entrée de Sainte-Julie.;Fresques participatives CCPA;Sainte-Julie;01150;D40,  Mur du local du comité d'animation, Entrée ouest du village coté Chazey / Ain;45.890704,5.276690;45.890704;5.276690;Passe-Mural;2025;Bâtiment associatif;Valorisation identité locale;La fresque associe musique, chèvres et blocs colorés comme une extension du paysage, visible dès l'entrée de Sainte-Julie.;photos/F008.jpg
F009;Fresque participative Vaux-en-Bugey;Fresques sur la bibliothèque de Vaux-en-Bugey, mêlant livres et patrimoine médiéval.;Fresques participatives CCPA;Vaux-en-Bugey;01150;Bibliothèque, 66 Rte de la Gare;45.92783157113591, 5.3529170669412505;45.92783157113591;5.3529170669412505;Stéphane Paret;2025;Bibliothèque;Patrimoine/Culture;À travers la représentation de livres, la fresque fait écho à la bibliothèque tout en mettant en valeur le patrimoine de Vaux-en-Bugey. Elle illustre notamment les symboles médiévaux, les maisons et l’église du village, ainsi que les montagnes qui structurent son paysage et participent à l’identité du Bugey.;photos/F009.jpg
F010;Fresque participative Lagnieu;Fresque participative sur la piscine municipale de Lagnieu, entre plongée et paysage de montagne.;Fresques participatives CCPA;Lagnieu;01150;36 Route du Port;45.90097739802111,5.347545338676417;45.90097739802111;5.347545338676417;Passe-Mural;2023;;Valorisation identité locale;Les motifs géométriques en mandala dynamisent la fresque et entourent une plongeuse qui saute d'un tremplin, faisant écho à la piscine municipale de Lagnieu.;photos/F010.jpg
